index,date,north,east,individ,gender
SEP0037022,2020-08-28,6996384,646193,NRM_864,Hona
SEP0037024,2020-08-28,6996451,646647,BI406629,Hona
SEP0038244,2020-10-12,6912795,535099,BI409265,Hona
SEP0038675,2020-10-30,6949658,433369,NRM_1550,Hona
SEP0038745,2020-10-29,6949932,434147,BI407272,Hona
SEP0038826,2020-09-14,6997861,661852,NRM_645,Hona
SEP0039137,2020-09-17,7049346,561554,BI406645,Hona
SEP0039188,2020-09-18,7035250,552331,BI407124,Hona
SEP0039508,2020-09-04,7037779,638398,NRM_636,Hane
SEP0039518,2020-09-04,7036794,637999,BI406643,Hona
SEP0041629,2020-09-19,7074073,593345,BI406910,Hona
SEP0041649,2020-09-25,7089373,592889,BI080768,Hona
SEP0041652,2020-09-12,7080210,588000,BI406654,Hona
SEP0042663,2020-09-07,6937979,605809,NRM_781,Hane
SEP0043522,2020-09-08,7008844,552228,NRM_1241,Hane
SEP0043541,2020-09-15,7006508,556355,NRM_854,Hona
SEP0044087,2020-09-22,6888994,514608,NRM_1261,Hona
SEP0045489,2020-08-28,6937436,500633,BI406845,Hane
SEP0046025,2020-09-15,7035261,670262,NRM_953,Hane
SEP0046818,2020-09-27,6968321,578452,BI407223,Hona
SEP0047340,2020-09-06,7144110,474854,NRM_1178,Hona
SEP0049588,2020-10-04,7042232,701954,NRM_844,Hane
SEP0049816,2020-08-29,7106825,557047,BI415033,Hane
SEP0050505,2020-09-08,7020015,657001,BI406663,Hona
SEP0050589,2020-09-08,7045602,704154,BI406634,Hane
SEP0052180,2020-09-09,7021141,500960,BI407130,Hona
SEP0052482,2020-08-25,6975857,459453,BI406882,Hane
SEP0056531,2020-08-30,6997649,538987,NRM_666,Hona
SEP0056563,2020-08-28,7002220,540964,NRM_730,Hane
SEP0061721,2020-08-28,6985940,510802,NRM_836,Hane
SEP0085347,2020-09-07,6872502,476006,NRM_920,Hona
SEP0092169,2020-09-09,6871340,475345,NRM_1224,Hane
SEP0092192,2020-09-11,6865749,477639,NRM_1440,Hane
SEP0092193,2020-09-14,6867080,486017,NRM_1195,Hona
SEP0092237,2020-10-15,6865135,475622,BI409284,Hane
SEP0106813,2020-08-21,6860874,496784,BI409316,Hona
SEP0106830,2020-09-26,6878921,509713,BI407075,Hona
SEP0106869,2020-09-20,6882000,510345,NRM_845,Hane
SEP0107176,2020-09-27,6989561,619161,NRM_653,Hona
SEP0108019,2020-10-07,6886519,518173,NRM_1616,Hona
SEP0111534,2020-10-17,6876267,504102,NRM_718,Hona
SEP0147166,2020-09-28,7148700,484100,NRM_848,Hona
SEP0147167,2020-09-28,7139500,490800,NRM_848,Hona
SEP0152390,2020-09-11,6897123,482184,BI407239,Hona
SEP0152402,2020-09-12,7009247,642963,NRM_1363,Hane
