Vecka,Individ,Kon,LnNamn,Long,Lat,LongIndivid,LatIndivid
35,NRM_864,Hona,Västernorrlands,646193,6996384,646483.7142857143,6994958.714285715
35,BI406629,Hona,Västernorrlands,646647,6996451,650790.7027027027,6993616.378378378
42,BI409265,Hona,Västernorrlands,535099,6912795,530162.6666666666,6914035.166666667
44,NRM_1550,Hona,Jämtlands,433369,6949658,434142.5,6949700
44,BI407272,Hona,Jämtlands,434147,6949932,439968,6946907.5
38,NRM_645,Hona,Västernorrlands,661852,6997861,661601.125,6998633.125
38,BI406645,Hona,Västernorrlands,561554,7049346,567802,7050275
38,BI407124,Hona,Jämtlands,552331,7035250,552122.8333333334,7036155.833333333
36,NRM_636,Hane,Västernorrlands,638398,7037779,639073.5,7041773
36,BI406643,Hona,Västernorrlands,637999,7036794,641089.5,7036456
38,BI406910,Hona,Västernorrlands,593345,7074073,590865.6666666666,7074895
39,BI080768,Hona,Västernorrlands,592889,7089373,595534.6666666666,7087565.666666667
37,BI406654,Hona,Västernorrlands,588000,7080210,587375.375,7084762.375
37,NRM_781,Hane,Västernorrlands,605809,6937979,599636.5714285715,6940028.428571428
37,NRM_1241,Hane,Jämtlands,552228,7008844,552228,7008844
38,NRM_854,Hona,Jämtlands,556355,7006508,548654.5,7008363.5
39,NRM_1261,Hona,Jämtlands,514608,6888994,514608,6888994
35,BI406845,Hane,Västernorrlands,500633,6937436,495098.3333333333,6933910.916666667
38,NRM_953,Hane,Västernorrlands,670262,7035261,667596.25,7030305.25
39,BI407223,Hona,Västernorrlands,578452,6968321,576421,6967890.5
36,NRM_1178,Hona,Jämtlands,474854,7144110,474854,7144110
40,NRM_844,Hane,Västernorrlands,701954,7042232,694111.5,7043748.5
35,BI415033,Hane,Jämtlands,557047,7106825,559501,7111701.5
37,BI406663,Hona,Västernorrlands,657001,7020015,655753.875,7026808.625
37,BI406634,Hane,Västernorrlands,704154,7045602,701345.3333333334,7042963.333333333
37,BI407130,Hona,Jämtlands,500960,7021141,504799.3125,7024118.875
35,BI406882,Hane,Jämtlands,459453,6975857,460922.75,6974299.875
35,NRM_666,Hona,Jämtlands,538987,6997649,537722.8888888889,6994675.888888889
35,NRM_730,Hane,Jämtlands,540964,7002220,556487.75,6991631.25
35,NRM_836,Hane,Jämtlands,510802,6985940,514075.0833333333,6998099.166666667
37,NRM_920,Hona,Jämtlands,476006,6872502,478629.2,6872535.2
37,NRM_1224,Hane,Jämtlands,475345,6871340,471354.5,6872027.5
37,NRM_1440,Hane,Jämtlands,477639,6865749,477639,6865749
38,NRM_1195,Hona,Jämtlands,486017,6867080,486017,6867080
42,BI409284,Hane,Jämtlands,475622,6865135,474466.5,6865488.5
34,BI409316,Hona,Jämtlands,496784,6860874,496784,6860874
39,BI407075,Hona,Jämtlands,509713,6878921,497814.5,6880713.75
38,NRM_845,Hane,Jämtlands,510345,6882000,510345,6882000
39,NRM_653,Hona,Västernorrlands,619161,6989561,620418.3333333334,6984737.666666667
41,NRM_1616,Hona,Jämtlands,518173,6886519,518173,6886519
42,NRM_718,Hona,Jämtlands,504102,6876267,504838,6875644.5
40,NRM_848,Hona,Jämtlands,484100,7148700,487450,7144100
40,NRM_848,Hona,Jämtlands,490800,7139500,487450,7144100
37,BI407239,Hona,Jämtlands,482184,6897123,478965.64285714284,6899070
37,NRM_1363,Hane,Västernorrlands,642963,7009247,644585.5,7009549
37,NRM_1580,Hane,Västernorrlands,554339,7056176,554339,7056176
37,BI407001,Hona,Västernorrlands,561731,7033713,562111.1666666666,7045687.333333333
41,NRM_1103,Hane,Jämtlands,560329,7059680,557889.3333333334,7071162.666666667
38,NRM_765,Hane,Västernorrlands,562165,7057714,552870.1875,7060147.25
40,NRM_734,Hona,Västernorrlands,602499,7001809,576654.8666666667,7018889.733333333
38,BI407248,Hane,Västernorrlands,555628,7042550,555744,7043689.75
37,BI407001,Hona,Västernorrlands,562610,7034569,562111.1666666666,7045687.333333333
35,NRM_766,Hane,Västernorrlands,639973,7048356,646276.3333333334,7047663.666666667
36,BI406515,Hona,Västernorrlands,637127,7011030,640474.8,7004604
39,BI406701,Hane,Västernorrlands,631976,7018942,632470,7015954
37,BI406701,Hane,Västernorrlands,633856,7013307,632470,7015954
34,NRM_1438,Hona,Västernorrlands,627084,7022234,616299.3333333334,7033653
38,NRM_1162,Hona,Västernorrlands,547183,7056378,546349.3333333334,7054929.666666667
35,NRM_1473,Hona,Västernorrlands,576285,7017908,576285,7017908
39,NRM_1662,Hona,Västernorrlands,555452,7044307,555452,7044307
36,BI407124,Hona,Jämtlands,556611,7037908,552122.8333333334,7036155.833333333
37,NRM_1162,Hona,Västernorrlands,544346,7055282,546349.3333333334,7054929.666666667
35,NRM_810,Hane,Västernorrlands,578091,7017549,578259,7018791.166666667
36,NRM_1519,Hane,Västernorrlands,557655,7046010,565695.6666666666,7038669.333333333
37,NRM_937,Hona,Västernorrlands,559313,7045966,560292.5,7043971.5
38,BI406591,Hona,Västernorrlands,562461,7040875,569156.1666666666,7039107.666666667
38,NRM_765,Hane,Västernorrlands,561855,7059731,552870.1875,7060147.25
41,NRM_1054,Hona,Västernorrlands,570780,7021489,571344,7024323.6
37,BI406591,Hona,Västernorrlands,564087,7041477,569156.1666666666,7039107.666666667
34,NRM_765,Hane,Västernorrlands,554016,7061127,552870.1875,7060147.25
41,NRM_734,Hona,Västernorrlands,572835,7023188,576654.8666666667,7018889.733333333
38,NRM_937,Hona,Västernorrlands,561272,7041977,560292.5,7043971.5
34,NRM_765,Hane,Västernorrlands,555365,7059961,552870.1875,7060147.25
35,NRM_1519,Hane,Västernorrlands,569227,7033048,565695.6666666666,7038669.333333333
36,NRM_734,Hona,Västernorrlands,575336,7010099,576654.8666666667,7018889.733333333
35,NRM_1054,Hona,Västernorrlands,570479,7028915,571344,7024323.6
38,NRM_810,Hane,Västernorrlands,578186,7017649,578259,7018791.166666667
37,BI407248,Hane,Västernorrlands,552287,7041288,555744,7043689.75
37,BI080634,Hona,Västernorrlands,648747,7092095,648747,7092095
37,NRM_1196,Hane,Västernorrlands,648250,7092244,648250,7092244
42,BI407186,Hane,Västernorrlands,676294,7069331,681122.1875,7060038.5625
41,NRM_768,Hona,Västernorrlands,624255,7080349,635473.8571428572,7077460.428571428
44,NRM_647,Hona,Västernorrlands,695135,7052672,690711.5625,7049412.625
42,NRM_934,Hona,Västernorrlands,679052,7056594,679023.1818181818,7063401.363636363
39,NRM_649,Hona,Västernorrlands,639344,7044212,639344,7044212
40,NRM_953,Hane,Västernorrlands,670623,7030620,667596.25,7030305.25
40,BI406711,Hane,Jämtlands,580395,7014728,573528.8,7013082.8
38,NRM_734,Hona,Västernorrlands,573959,7023119,576654.8666666667,7018889.733333333
38,NRM_1218,Hane,Västernorrlands,581726,7033302,581198.25,7034882.25
42,NRM_1093,Hona,Västernorrlands,655516,7041763,657516.6666666666,7043040.666666667
38,NRM_1301,Hona,Västernorrlands,564027,7048975,564027,7048975
42,NRM_662,Hane,Västernorrlands,579196,7052260,583749.6666666666,7050538.666666667
38,NRM_765,Hane,Västernorrlands,552350,7060908,552870.1875,7060147.25
38,BI407001,Hona,Västernorrlands,561305,7039009,562111.1666666666,7045687.333333333
39,NRM_633,Hane,Västernorrlands,634770,7064430,635549.4444444445,7061961.444444444
37,NRM_1255,Hane,Västernorrlands,621333,6951038,616367.6,6958944
37,NRM_1057,Hane,Västernorrlands,616080,6944296,610339.0833333334,6938182.916666667
39,NRM_727,Hane,Västernorrlands,661118,7077973,660626.6,7081102.2
41,NRM_766,Hane,Västernorrlands,646570,7045996,646276.3333333334,7047663.666666667
42,NRM_1059,Hane,Västernorrlands,657139,7062464,656314.1666666666,7063972.833333333
40,NRM_843,Hane,Västernorrlands,664001,7032913,666234.3333333334,7033025.666666667
39,NRM_955,Hona,Västernorrlands,639344,7044212,641665.5,7039310.5
41,BI406620,Hona,Västernorrlands,616447,7054948,615213.4444444445,7056338.777777778
40,NRM_843,Hane,Västernorrlands,670192,7031203,666234.3333333334,7033025.666666667
42,BI406709,Hona,Västernorrlands,638537,7044361,638317.5,7047456.75
42,BI406615,Hona,Västernorrlands,673911,7067446,670068,7068236
41,NRM_1018,Hona,Västernorrlands,648264,7067940,648398.75,7065218.75
38,NRM_641,Hane,Västernorrlands,534225,6946114,540879.4375,6942030.4375
36,NRM_771,Hona,Västernorrlands,595845,6963458,599351.8181818182,6968584.545454546
42,BI406572,Hona,Västernorrlands,640222,7080875,641369.5,7081461.25
36,NRM_1526,Hona,Västernorrlands,552481,7039313,552481,7039313
36,NRM_1054,Hona,Västernorrlands,573935,7024983,571344,7024323.6
34,BI406651,Hona,Västernorrlands,577169,7023391,577169,7023391
36,NRM_810,Hane,Västernorrlands,574403,7022139,578259,7018791.166666667
38,BI407001,Hona,Västernorrlands,560937,7096095,562111.1666666666,7045687.333333333
38,NRM_734,Hona,Västernorrlands,575264,7022214,576654.8666666667,7018889.733333333
35,NRM_1474,Hona,Västernorrlands,558146,7037198,558146,7037198
42,BI406500,Hona,Västernorrlands,581877,7042716,579319.2,7045475.6
34,NRM_611,Hona,Jämtlands,555730,7061963,550176,7063685.5
38,BI406645,Hona,Västernorrlands,565719,7049993,567802,7050275
38,BI407001,Hona,Västernorrlands,561969,7038785,562111.1666666666,7045687.333333333
36,NRM_1054,Hona,Västernorrlands,572386,7020023,571344,7024323.6
35,NRM_662,Hane,Västernorrlands,585108,7051934,583749.6666666666,7050538.666666667
40,BI040898,Hona,Västernorrlands,570002,7049527,569839.75,7046490
36,BI041493,Hane,Jämtlands,541686,7042881,533595.375,7043428.125
35,NRM_1502,Hona,Västernorrlands,561700,7053764,561700,7053764
37,BI406594,Hona,Västernorrlands,555657,7056031,555657,7056031
35,NRM_765,Hane,Västernorrlands,553782,7056920,552870.1875,7060147.25
34,BI406591,Hona,Västernorrlands,569391,7038138,569156.1666666666,7039107.666666667
37,NRM_1364,Hane,Västernorrlands,571598,7039543,571598,7039543
34,BI406591,Hona,Västernorrlands,573631,7038394,569156.1666666666,7039107.666666667
39,NRM_745,Hane,Västernorrlands,578201,7040136,578415,7035902.5
40,NRM_846,Hona,Västernorrlands,574848,7033579,572522,7035837.5
40,BI406500,Hona,Västernorrlands,576401,7048027,579319.2,7045475.6
40,NRM_700,Hona,Västernorrlands,644483,7054336,643462.5,7055841.5
42,BI406620,Hona,Västernorrlands,618695,7054964,615213.4444444445,7056338.777777778
39,BI406589,Hona,Västernorrlands,648656,7055797,648025.5,7060997.125
40,NRM_650,Hona,Västernorrlands,662075,7067948,663287.75,7068443.5
39,NRM_636,Hane,Västernorrlands,639344,7044212,639073.5,7041773
40,NRM_651,Hona,Västernorrlands,662444,7069692,661279.8,7070296
42,NRM_988,Hona,Västernorrlands,673698,7067566,689010.6666666666,7060518.333333333
35,BI407349,Hona,Jämtlands,577791,6961511,571560.2222222222,6964163.666666667
37,NRM_780,Hona,Västernorrlands,619630,6973631,620860.5,6973712.5
42,NRM_864,Hona,Västernorrlands,645380,6989254,646483.7142857143,6994958.714285715
42,NRM_1059,Hane,Västernorrlands,656913,7063854,656314.1666666666,7063972.833333333
41,BI406549,Hona,Västernorrlands,591112,6969818,590712.1428571428,6976954.571428572
38,NRM_1179,Hona,Västernorrlands,626888,7001156,628079.6666666666,6998803.333333333
37,BI406665,Hane,Västernorrlands,532670,6952050,526778.8947368421,6943378.736842105
42,NRM_731,Hona,Västernorrlands,676568,7076299,678298,7074924.5
37,BI407355,Hane,Jämtlands,535949,6952142,525953.4285714285,6962953.785714285
40,NRM_652,Hane,Västernorrlands,617586,6975646,619731,6979313.5
37,NRM_653,Hona,Västernorrlands,622450,6980409,620418.3333333334,6984737.666666667
42,NRM_865,Hona,Västernorrlands,621759,6973111,626374.3846153846,6977443.076923077
37,NRM_865,Hona,Västernorrlands,624020,6981079,626374.3846153846,6977443.076923077
39,NRM_634,Hona,Västernorrlands,611756,7039960,621596.875,7037214.75
37,BI080515,Hane,Västernorrlands,615729,7044684,609371.9,7043046.3
38,NRM_813,Hona,Västernorrlands,595371,6980318,597244.4,6972677.4
38,NRM_771,Hona,Västernorrlands,600022,6976884,599351.8181818182,6968584.545454546
38,NRM_660,Hane,Västernorrlands,581140,6967231,579307.0588235294,6961458.117647059
36,NRM_1057,Hane,Västernorrlands,613521,6930953,610339.0833333334,6938182.916666667
37,NRM_781,Hane,Västernorrlands,595804,6943839,599636.5714285715,6940028.428571428
36,BI041489,Hane,Västernorrlands,579178,6966905,575874,6965845.888888889
37,NRM_965,Hona,Västernorrlands,594898,6948168,593528.6,6947782.8
40,NRM_1108,Hona,Västernorrlands,588009,6977896,593997,6972879.333333333
40,NRM_813,Hona,Västernorrlands,593638,6975403,597244.4,6972677.4
38,NRM_733,Hane,Västernorrlands,590060,6992980,593020.3636363636,6998900.545454546
35,NRM_781,Hane,Västernorrlands,596021,6943117,599636.5714285715,6940028.428571428
42,BI406549,Hona,Västernorrlands,591041,6982098,590712.1428571428,6976954.571428572
38,NRM_660,Hane,Västernorrlands,580373,6969194,579307.0588235294,6961458.117647059
36,NRM_660,Hane,Västernorrlands,579028,6968887,579307.0588235294,6961458.117647059
37,NRM_965,Hona,Västernorrlands,595030,6945951,593528.6,6947782.8
39,NRM_1105,Hane,Västernorrlands,581280,6971230,579605.6666666666,6970070.666666667
38,NRM_771,Hona,Västernorrlands,589364,6985435,599351.8181818182,6968584.545454546
38,NRM_813,Hona,Västernorrlands,589015,6984034,597244.4,6972677.4
36,BI406593,Hona,Västernorrlands,601779,6980281,607273.1428571428,6982348.714285715
37,NRM_1102,Hane,Västernorrlands,595296,6978853,594738.5,6969876.75
36,BI406593,Hona,Västernorrlands,603179,6978712,607273.1428571428,6982348.714285715
39,NRM_771,Hona,Västernorrlands,602262,6977587,599351.8181818182,6968584.545454546
42,NRM_771,Hona,Västernorrlands,598068,6958594,599351.8181818182,6968584.545454546
40,BI406679,Hona,Västernorrlands,664695,7067612,667808.3333333334,7067357.666666667
41,NRM_1104,Hane,Västernorrlands,670685,7071234,666902.25,7070952.25
35,NRM_1538,Okänt,Västernorrlands,598739,7045025,598739,7045025
37,NRM_810,Hane,Västernorrlands,574337,7021919,578259,7018791.166666667
37,BI406500,Hona,Västernorrlands,580978,7041852,579319.2,7045475.6
38,NRM_912,Hona,Västernorrlands,591555,7040911,587250.75,7049048
40,BI406645,Hona,Västernorrlands,564434,7049099,567802,7050275
37,BI406692,Hane,Västernorrlands,599080,7041070,607638.25,7047338.916666667
38,NRM_910,Hona,Västernorrlands,578733,7055888,582206.8333333334,7056010.5
38,NRM_1202,Hona,Västernorrlands,553362,7041585,550177,7045771.5
37,BI406500,Hona,Västernorrlands,581991,7041237,579319.2,7045475.6
38,BI414855,Hane,Västernorrlands,604766,7023759,595863.8181818182,7043701.909090909
39,NRM_1613,Hona,Västernorrlands,576443,7057049,576443,7057049
39,NRM_1054,Hona,Västernorrlands,569140,7026208,571344,7024323.6
41,NRM_910,Hona,Västernorrlands,580820,7053321,582206.8333333334,7056010.5
38,NRM_1162,Hona,Västernorrlands,547519,7053129,546349.3333333334,7054929.666666667
38,NRM_979,Hona,Västernorrlands,543378,7059839,543378,7059839
37,BI080515,Hane,Västernorrlands,613758,7044280,609371.9,7043046.3
38,BI406645,Hona,Västernorrlands,555628,7051693,567802,7050275
40,NRM_701,Hona,Jämtlands,555845,7090851,559690.6666666666,7087227.5
39,BI040898,Hona,Västernorrlands,570870,7048573,569839.75,7046490
34,NRM_1057,Hane,Västernorrlands,596038,6957403,610339.0833333334,6938182.916666667
38,NRM_1262,Hona,Västernorrlands,585516,6958331,586665.5,6958242.5
41,NRM_1105,Hane,Västernorrlands,575206,6964703,579605.6666666666,6970070.666666667
37,NRM_2039,Hona,Västernorrlands,630474,7023746,630474,7023746
37,NRM_814,Hane,Västernorrlands,628022,6973491,623666.3333333334,6983627
38,BI414934,Hona,Västernorrlands,632749,6962409,632749,6962409
37,NRM_865,Hona,Västernorrlands,628021,6973491,626374.3846153846,6977443.076923077
37,NRM_652,Hane,Västernorrlands,621876,6982981,619731,6979313.5
36,BI406629,Hona,Västernorrlands,648897,6988991,650790.7027027027,6993616.378378378
38,BI406549,Hona,Västernorrlands,591019,6975543,590712.1428571428,6976954.571428572
38,NRM_1105,Hane,Västernorrlands,582331,6974279,579605.6666666666,6970070.666666667
37,BI080515,Hane,Västernorrlands,614258,7039903,609371.9,7043046.3
44,BI407349,Hona,Jämtlands,573865,6961792,571560.2222222222,6964163.666666667
41,NRM_1057,Hane,Västernorrlands,614350,6928669,610339.0833333334,6938182.916666667
37,BI041489,Hane,Västernorrlands,577008,6958259,575874,6965845.888888889
42,NRM_965,Hona,Västernorrlands,595020,6946109,593528.6,6947782.8
37,NRM_781,Hane,Västernorrlands,601474,6937612,599636.5714285715,6940028.428571428
38,NRM_660,Hane,Västernorrlands,589135,6955424,579307.0588235294,6961458.117647059
41,NRM_1102,Hane,Västernorrlands,602325,6961162,594738.5,6969876.75
37,NRM_660,Hane,Västernorrlands,582389,6966953,579307.0588235294,6961458.117647059
42,NRM_934,Hona,Västernorrlands,679234,7057188,679023.1818181818,7063401.363636363
42,BI406629,Hona,Västernorrlands,648179,6995841,650790.7027027027,6993616.378378378
40,NRM_702,Hane,Västernorrlands,700634,7061439,681550.8333333334,7064040.5
36,NRM_882,Hona,Västernorrlands,650224,6992149,647535.8,6990021
38,NRM_911,Hane,Västernorrlands,640783,6973770,633477.3333333334,6973822.666666667
39,NRM_1108,Hona,Västernorrlands,591255,6974194,593997,6972879.333333333
37,NRM_911,Hane,Västernorrlands,618447,6974356,633477.3333333334,6973822.666666667
35,NRM_703,Hane,Västernorrlands,578779,6957547,576969.8888888889,6955896.111111111
39,NRM_960,Hane,Jämtlands,567951,6960807,569032.3333333334,6968622.333333333
35,NRM_660,Hane,Västernorrlands,583471,6953032,579307.0588235294,6961458.117647059
37,BI406629,Hona,Västernorrlands,652309,6989868,650790.7027027027,6993616.378378378
